Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
13:46:54,163,10432000,30.55,29.5,32.52,2080989.43,100%,148,148,148
13:46:59,153,9792000,32.58,31.6,30.48,1950597.61,100%,149,149,149
13:47:04,169,10816000,29.52,28.88,33.67,2155010.96,100%,150,150,150
13:47:09,178,11392000,28.07,27.4,35.45,2268870.74,100%,151,151,151
13:47:14,113,7232000,44.38,43.39,22.43,1435775.26,100%,152,152,152
13:47:19,152,9728000,32.72,31.68,30.33,1940941.74,100%,153,153,153
13:47:24,187,11968000,26.65,25.94,37.3,2386916.63,100%,154,154,154
13:47:29,148,9472000,33.92,33.26,29.39,1880857.82,100%,155,155,155
13:47:34,169,10816000,29.54,28.53,33.65,2153723.62,100%,156,156,156
13:47:39,164,10496000,30.34,29.37,32.71,2093756.23,100%,157,157,157
13:47:44,171,10944000,29.1,28.4,34.16,2186176.59,100%,158,158,158
13:47:49,164,10496000,30.35,29.73,32.8,2099200,100%,159,159,159
13:47:54,146,9344000,34.19,33.18,29.07,1860242.88,100%,160,160,160
13:47:59,158,10112000,31.51,30.53,31.42,2011137.63,100%,161,161,161
13:48:04,165,10560000,30.44,29.72,32.66,2090261.28,100%,162,162,162
13:48:09,121,7744000,41.21,40.6,24.15,1545708.58,100%,163,163,163
13:48:14,146,9344000,34.12,33.12,29.04,1858762.68,100%,164,164,164
13:48:19,144,9216000,34.67,33.86,28.65,1833664.94,100%,165,165,165
13:48:24,171,10944000,29.2,28.53,34.08,2181383.3,100%,166,166,166
13:48:29,159,10176000,31.53,30.92,31.61,2023061.63,100%,167,167,167
13:48:34,139,8896000,35.96,34.96,27.63,1768588.47,100%,168,168,168
13:48:39,157,10048000,31.69,30.69,31.28,2001992.43,100%,169,169,169
13:48:44,181,11584000,27.52,26.86,36.08,2309409.89,100%,170,170,170
13:48:49,173,11072000,28.87,28.16,34.43,2203383.08,100%,171,171,171
13:48:54,146,9344000,34.01,33.09,29.19,1868052.78,100%,172,172,172
13:48:59,165,10560000,30.07,29.12,32.97,2110311.75,100%,173,173,173
13:49:04,150,9600000,33.25,32.57,29.96,1917698.76,100%,174,174,174
13:49:09,155,9920000,32.21,31.56,30.89,1976883.22,100%,175,175,175
13:49:14,162,10368000,30.67,29.71,32.32,2068635.28,100%,176,176,176
13:49:19,130,8320000,38.3,37.31,25.96,1661341.85,100%,177,177,177
13:49:24,174,11136000,28.76,28.2,34.59,2213916.5,100%,178,178,178
13:49:29,190,12160000,26.24,25.63,37.91,2426177.17,100%,179,179,179
13:49:34,173,11072000,28.92,27.93,34.3,2195518.54,100%,180,180,180
13:49:39,157,10048000,31.8,30.87,31.23,1998806.45,100%,181,181,181
13:49:44,27,1728000,25.07,25,39.65,2537444.93,100%,182,182,182
