Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,1522,32605492000,631.1,430.66,0.32,6853132.68,99.74%
delete,delete,812,0,337.94,337.94,0.17,0,100%
read,read,4953,103726164000,472.81,192.41,1.03,21603145.56,99.74%
list,list,798,0,186.46,186.46,0.17,0,99.87%
write,write,1596,35291700000,625.56,432.6,0.33,7350235.49,99.75%
delete,delete,878,0,236.85,236.85,0.18,0,100%
read,read,4932,100707468000,431.79,160.06,1.04,21240991.02,99.74%
list,list,851,0,193.86,193.86,0.18,0,99.65%
write,write,1598,32869004000,640.28,473.35,0.34,6932655.87,99.75%
delete,delete,849,0,213.08,213.08,0.18,0,100%
read,read,5054,106739180000,471.03,180.25,1.07,22495151.72,99.8%
list,list,803,0,182.68,182.68,0.17,0,100%
write,write,1702,35164840000,563.08,377.71,0.36,7410947.05,99.77%
delete,delete,862,0,452.29,452.29,0.18,0,100%
read,read,4775,104245868000,464.7,169.48,0.99,21712800.23,99.65%
list,list,810,0,127.43,127.43,0.17,0,99.88%
write,write,1551,32278728000,626.74,434.45,0.32,6723159.26,99.87%
delete,delete,753,0,361.8,361.8,0.16,0,100%
read,read,4871,99004112000,446.03,166.95,1.03,20851254.38,99.65%
list,list,778,0,103.14,103.14,0.16,0,100%
write,write,1582,33655144000,642.06,432.96,0.33,7088109.32,99.68%
delete,delete,774,0,153.56,153.56,0.16,0,100%
read,read,4976,101565440000,443.99,161.59,1.04,21153838.86,99.64%
list,list,825,0,96.15,96.15,0.17,0,99.76%
write,write,1715,35757020000,618.57,430.01,0.36,7447397.85,99.88%
delete,delete,820,0,132.13,132.13,0.17,0,100%
read,read,4692,101030088000,446.05,149.93,0.98,21048575.23,99.72%
list,list,760,0,115.31,115.31,0.16,0,99.61%
write,write,1639,34705264000,611.81,437.95,0.34,7230483.26,99.57%
delete,delete,771,0,247.85,247.85,0.16,0,100%
read,read,4385,94272824000,482.8,174.05,0.91,19632179.73,99.7%
list,list,759,0,90.54,90.54,0.16,0,99.35%
write,write,1489,31030972000,604.41,434.04,0.31,6462155.2,99.87%
delete,delete,769,0,564.56,564.56,0.16,0,100%
read,read,4953,105620292000,440.24,153.31,1.03,21996904.36,99.72%
list,list,810,0,109.57,109.57,0.17,0,99.88%
write,write,1613,32739260000,632.22,425.77,0.34,6818409.2,99.75%
delete,delete,846,0,410.31,410.31,0.18,0,100%
read,read,5002,103984768000,458.5,179.07,1.04,21658254.74,99.64%
list,list,855,0,126.67,126.67,0.18,0,99.88%
write,write,1619,33131156000,564.93,400.56,0.34,6900655.07,99.88%
delete,delete,835,0,204.26,204.26,0.17,0,100%
read,read,4931,104047676000,446.17,166.22,1.03,21674553.63,99.72%
list,list,792,0,162.53,162.53,0.16,0,99.5%
write,write,1637,32477828000,617.8,430.11,0.34,6765575.67,99.88%
delete,delete,810,0,259.02,259.02,0.17,0,100%
