Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,1756,37591480000,1005.62,748.54,0.37,7829940.15,100%
delete,delete,914,0,62.75,62.75,0.19,0,100%
read,read,5482,115533160000,539.17,141.34,1.14,24071313.98,100%
list,list,916,0,106.1,106.1,0.19,0,100%
write,write,1792,36675556000,945.15,710.25,0.37,7641345.77,100%
delete,delete,842,0,62.5,62.5,0.18,0,100%
read,read,5197,109302040000,537.65,144.89,1.08,22762504.25,100%
list,list,875,0,100.67,100.67,0.18,0,100%
write,write,1869,39169020000,996.88,752.12,0.39,8157075.42,100%
delete,delete,904,0,61.95,61.95,0.19,0,100%
read,read,5508,112909524000,514.03,138.37,1.15,23513940.99,100%
list,list,928,0,90.56,90.56,0.19,0,100%
write,write,1829,38183780000,997.49,729.41,0.38,7951952.3,100%
delete,delete,922,0,66.88,66.88,0.19,0,100%
read,read,5484,114549228000,521.51,143.85,1.14,23856520.03,100%
list,list,964,0,95.32,95.32,0.2,0,100%
write,write,1793,39492836000,1001.32,777.63,0.37,8224949.65,100%
delete,delete,927,0,58.18,58.18,0.19,0,100%
read,read,5354,115331432000,540.24,146.5,1.12,24020295.68,100%
list,list,889,0,97.21,97.21,0.19,0,100%
write,write,1753,37002940000,1005.34,756.98,0.37,7706672.36,100%
delete,delete,868,0,68.83,68.83,0.18,0,100%
read,read,5294,111333500000,548.98,140.03,1.1,23186040.41,100%
list,list,796,0,106.47,106.47,0.17,0,100%
write,write,1727,37458320000,1018.78,790.98,0.36,7800977.44,100%
delete,delete,849,0,59.9,59.9,0.18,0,100%
read,read,5456,112847804000,524.99,146.44,1.14,23507260.73,100%
list,list,917,0,96.55,96.55,0.19,0,100%
write,write,1859,37530920000,955.05,715.97,0.39,7818044.22,100%
delete,delete,946,0,75.9,75.9,0.2,0,100%
read,read,5167,113363464000,548.67,140.56,1.08,23620823.19,100%
list,list,952,0,121.46,121.46,0.2,0,100%
write,write,1747,37132300000,1020.78,773.43,0.36,7737020.93,100%
delete,delete,872,0,74.47,74.47,0.18,0,100%
read,read,5069,106937036000,552.69,147.5,1.06,22316151.88,100%
list,list,836,0,90.15,90.15,0.17,0,100%
write,write,1763,41062004000,1056.81,781.46,0.37,8569022.97,100%
delete,delete,890,0,57.8,57.8,0.19,0,100%
read,read,5288,112904984000,528.87,148.31,1.1,23516418.8,100%
list,list,895,0,119.36,119.36,0.19,0,100%
write,write,1772,40409240000,1033.97,772.59,0.37,8416640.06,100%
delete,delete,889,0,73.16,73.16,0.19,0,100%
read,read,5176,111392920000,552.32,147.96,1.08,23201488.16,100%
list,list,871,0,97.97,97.97,0.18,0,100%
write,write,1766,36542288000,1023.14,775.38,0.37,7611214.99,100%
delete,delete,875,0,56.8,56.8,0.18,0,100%
read,read,5385,111927312000,523.96,141.23,1.12,23313017.42,100%
list,list,880,0,106.11,106.11,0.18,0,100%
write,write,1759,38706316000,1029.75,761.74,0.37,8062027.07,100%
delete,delete,901,0,82.6,82.6,0.19,0,100%
read,read,5407,114224620000,531.87,145.59,1.13,23812045.46,100%
list,list,838,0,107.76,107.76,0.17,0,100%
write,write,1827,38772960000,971.86,735.69,0.38,8082876.41,100%
delete,delete,884,0,61.97,61.97,0.18,0,100%
read,read,5335,110743456000,522.07,139.69,1.11,23061992.22,100%
list,list,914,0,94.59,94.59,0.19,0,100%
write,write,1881,37659972000,994.69,755.66,0.39,7842576.1,100%
delete,delete,931,0,63.2,63.2,0.19,0,100%
read,read,5296,113038960000,520.92,138.64,1.1,23542352.78,100%
list,list,907,0,96.5,96.5,0.19,0,100%
write,write,1799,38444408000,1053.33,803.11,0.37,8006724.54,100%
delete,delete,902,0,66.38,66.38,0.19,0,100%
read,read,5493,114550944000,524.69,138.51,1.14,23854924.93,100%
list,list,872,0,102.86,102.86,0.18,0,100%
write,write,1824,37068996000,972.75,741.57,0.38,7719518.37,100%
delete,delete,859,0,64.52,64.52,0.18,0,100%
read,read,5169,107596416000,544.75,142.39,1.08,22408240.51,100%
list,list,862,0,111.84,111.84,0.18,0,100%
write,write,1795,38510104000,1023.54,789.77,0.37,8020189.75,100%
delete,delete,913,0,56.72,56.72,0.19,0,100%
read,read,5498,113436260000,527.29,143.03,1.14,23623385.34,100%
list,list,867,0,111.79,111.79,0.18,0,100%
write,write,1799,37659704000,971.5,731.16,0.37,7842727.71,100%
delete,delete,903,0,64,64,0.19,0,100%
read,read,5243,108319004000,536.26,141.01,1.09,22560729.68,100%
list,list,851,0,102.04,102.04,0.18,0,100%
write,write,1810,38903896000,1019.91,771,0.38,8102920.53,100%
delete,delete,869,0,64.85,64.85,0.18,0,100%
read,read,5418,115460892000,518.69,138.66,1.13,24100942.63,100%
list,list,902,0,108.54,108.54,0.19,0,100%
write,write,1850,38644868000,991.26,740.87,0.39,8066607.93,100%
delete,delete,890,0,54.26,54.26,0.19,0,100%
read,read,5409,115465116000,538.78,138.31,1.13,24048719.31,100%
list,list,853,0,108.59,108.59,0.18,0,100%
write,write,1758,35429292000,988.44,751.17,0.37,7379103.99,100%
delete,delete,912,0,61.77,61.77,0.19,0,100%
read,read,5340,114938184000,537.81,149.46,1.11,23935656.34,100%
list,list,886,0,89.66,89.66,0.18,0,100%
write,write,1802,38511392000,995.41,726.93,0.38,8019923.51,100%
delete,delete,897,0,62.9,62.9,0.19,0,100%
read,read,5424,111728052000,521.12,138.07,1.13,23277497.06,100%
list,list,921,0,104.73,104.73,0.19,0,100%
write,write,1829,37724816000,994.08,768.8,0.38,7859613.39,100%
delete,delete,918,0,63.43,63.43,0.19,0,100%
