Timestamp,Op-Count,,,,Byte-Count,,,,Avg-ResTime,,,,Avg-ProcTime,,,,Throughput,,,,Bandwidth,,,,Succ-Ratio,,,,Version-Info,,
,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,Min-Version,Version,Max-Version
02:10:06,1868,293,606,289,38382152000,0,11743872000,0,398.56,84.76,766.18,55.64,113.7,84.76,587.91,55.64,337.3,53.06,109.12,52.15,6937721753.18,0,2092788966.12,0,100%,100%,100%,100%,84,84,84
02:10:11,1213,171,411,207,27679996000,0,8791092000,0,524.84,136.07,818.79,59.96,138.93,136.07,579.98,59.96,235.57,33.04,79.24,40.37,5323709132.68,0,1700818877.05,0,100%,100%,100%,100%,85,85,85
02:10:16,874,148,289,137,19679296000,0,6101272000,0,600.39,98.61,985.52,177.39,163.39,98.61,708.69,177.39,209.94,38.37,70.37,32.69,4649169920.49,0,1483876622.83,0,100%,100%,100%,100%,86,86,86
02:10:21,1190,185,427,208,23750924000,0,9053464000,0,457.7,87.37,1261.79,114.37,140.96,87.37,1043.04,114.37,291.64,44.7,105.82,53.74,5776852975.31,0,2260887598.74,0,100%,100%,100%,100%,87,87,87
02:10:26,1494,245,504,227,32080884000,0,10562208000,0,526.23,133.6,1045.13,58.22,131.13,133.6,795.39,58.22,293.92,47.27,99.17,43.99,6457690399.33,0,1997480894.25,0,100%,100%,100%,100%,88,88,88
02:10:31,1487,238,497,244,32472848000,0,11085896000,0,531.65,111.23,718.09,51.77,149.45,111.23,477.35,51.77,275.24,43.61,92.97,44.42,6016744739.37,0,2099274773.8,0,100%,100%,100%,100%,89,89,89
02:10:36,1505,248,521,271,30442748000,0,10629728000,0,492.7,76.77,820.55,71.42,130.52,76.77,612.78,71.42,292.74,49.41,100.24,52.92,5836134610.04,0,2025177285.44,0,100%,100%,100%,100%,90,90,90
02:10:41,1568,289,502,231,32606516000,0,8597080000,0,526.56,108.5,983.62,54.45,149.06,108.5,783.13,54.45,306.88,55.16,97.25,45.09,6383621954.16,0,1681163081.15,0,100%,100%,100%,100%,91,91,91
02:10:46,1405,238,467,256,28802728000,0,9120236000,0,493.37,93.08,934.98,80.59,139.34,93.08,695.1,80.59,276.66,46.85,91.74,51.39,5663777415.37,0,1834650624,0,100%,100%,100%,100%,92,92,92
02:10:51,1528,228,471,268,30312196000,0,9905856000,0,518.85,92.87,826.73,69.24,149.62,92.87,590.37,69.24,315.45,46.82,95.8,57.13,6259801450.09,0,2024662824.51,0,100%,100%,100%,100%,93,93,93
