Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w78-s1-MAIN-3,write,22686,1214923939000,20,643.18,91.47,80,320,910,1130,12350,16990,6.31,337761167.27,100%,16% containers=u(1-2) objects=u(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w78-s1-MAIN-4,delete,19947,0,20,20.93,20.93,20,40,50,80,160,2030,5.55,0,100%,14% containers=u(1-2) objects=u(1-195000)
w79-s1-MAIN-1,read,4404892,232209963889000,20,616.74,51.73,80,280,810,1050,11650,20600,25.49,1343834061.22,100%,60% containers=u(3-5) objects=u(1-195000)
w79-s1-MAIN-2,list,734623,0,20,7.02,7.02,10,10,20,30,60,3760,4.25,0,100%,10% containers=u(3-5) objects=u(1-195000)
w79-s1-MAIN-3,write,1172752,62267465421000,20,606.91,92.53,90,330,820,1070,11360,48830,6.79,360351190.15,100%,16% containers=u(1-2) objects=u(1-390000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w79-s1-MAIN-4,delete,1029260,0,20,21.32,21.32,20,30,50,80,180,35520,5.96,0,100%,14% containers=u(1-2) objects=u(1-390000)
w80-s1-MAIN-1,read,81069,4335173364000,20,673.1,60.17,100,350,910,1140,12640,110850,22.54,1205316455.77,100%,60% containers=u(3-5) objects=u(1-195000)
w80-s1-MAIN-2,list,13530,0,20,8.35,8.35,10,10,20,30,80,1590,3.76,0,100%,10% containers=u(3-5) objects=u(1-195000)
w80-s1-MAIN-3,write,21710,1169824901000,20,753.25,201.26,130,480,960,1260,12500,111050,6.04,325251894.32,100%,16% containers=u(1-2) objects=u(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w80-s1-MAIN-4,delete,19010,0,20,46.95,46.95,20,40,70,120,280,66780,5.29,0,100%,14% containers=u(1-2) objects=u(1-195000)
w81-s1-MAIN-1,read,4252994,224783517061000,20,636.15,56.77,90,320,850,1100,12180,19360,24.61,1300871607,100%,60% containers=u(3-5) objects=u(1-195000)
w81-s1-MAIN-2,list,708594,0,20,7.87,7.87,10,10,20,30,80,2600,4.1,0,100%,10% containers=u(3-5) objects=u(1-195000)
w81-s1-MAIN-3,write,1135148,60336036187000,20,630.18,112.78,120,450,880,1160,11820,19420,6.57,349177893.06,100%,16% containers=u(1-2) objects=u(1-390000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w81-s1-MAIN-4,delete,993914,0,20,29.18,29.18,20,40,70,110,280,14280,5.75,0,100%,14% containers=u(1-2) objects=u(1-390000)
w83-s1-MAIN-1,read,89118,4690811122000,20,631.94,44.46,70,240,820,1060,12430,16110,24.79,1304784179.44,100%,60% containers=u(3-5) objects=u(1-195000)
w83-s1-MAIN-2,list,14603,0,20,6.1,6.09,10,10,10,20,50,720,4.06,0,100%,10% containers=u(3-5) objects=u(1-195000)
w83-s1-MAIN-3,write,23458,1283312377000,20,646.07,80.1,70,290,870,1100,12160,15200,6.52,356979109.51,100%,16% containers=u(1-2) objects=u(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w83-s1-MAIN-4,delete,20612,0,20,16.03,16.03,10,30,40,60,120,1010,5.73,0,100%,14% containers=u(1-2) objects=u(1-195000)
w84-s1-cleanup-1,cleanup-delete,975000,0,20,30.39,30.39,40,50,60,70,90,570,661.25,0,100%,100% containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) containers=r(1-5)  objects=r(1-195000) deleteContainer=false containers=r(1-5)  objects=r(1-195000)
w84-s2-dispose-1,dispose-delete,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
w85-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% containers=r(1-5) containers=r(1-5) containers=r(1-5) objects=r(0-0) sizes=c(0)B containers=r(1-5)
