================================================== stage: s1-MAIN ==================================================
---------------------------------- mission: MD17F4F33BF, driver: driver1 ----------------------------------
2020-03-26 13:47:43,229 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects4835
2020-03-26 13:47:43,249 [INFO] [NoneStorage] - performing GET at /cf4/myobjects5610
2020-03-26 13:47:43,266 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4333
2020-03-26 13:47:43,271 [WARN] [AbstractOperator] - listerrr: cf5/myobjects4168
2020-03-26 13:47:43,272 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects4168
2020-03-26 13:47:43,272 [INFO] [NoneStorage] - performing GET at /cf3/myobjects1038
2020-03-26 13:47:43,281 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects1260
2020-03-26 13:47:43,308 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3562
2020-03-26 13:47:43,321 [INFO] [NoneStorage] - performing GET at /cf3/myobjects4272
2020-03-26 13:47:43,327 [INFO] [NoneStorage] - performing GET at /cf5/myobjects447
2020-03-26 13:47:43,338 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects2816
2020-03-26 13:47:43,365 [WARN] [AbstractOperator] - listerrr: cf4/myobjects1816
2020-03-26 13:47:43,365 [INFO] [NoneStorage] - performing LIST at /cf4/myobjects1816
2020-03-26 13:47:43,366 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects2242
2020-03-26 13:47:43,392 [INFO] [NoneStorage] - performing GET at /cf3/myobjects1108
2020-03-26 13:47:43,399 [INFO] [NoneStorage] - performing GET at /cf5/myobjects1645
2020-03-26 13:47:43,408 [WARN] [AbstractOperator] - listerrr: cf5/myobjects5467
2020-03-26 13:47:43,408 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects5467
2020-03-26 13:47:43,409 [INFO] [NoneStorage] - performing GET at /cf4/myobjects5562
2020-03-26 13:47:43,415 [INFO] [NoneStorage] - performing GET at /cf4/myobjects4423
2020-03-26 13:47:43,423 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4663
2020-03-26 13:47:43,429 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects656
2020-03-26 13:47:43,450 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects5458
2020-03-26 13:47:43,468 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects4603
2020-03-26 13:47:43,490 [INFO] [NoneStorage] - performing GET at /cf4/myobjects5523
2020-03-26 13:47:43,497 [INFO] [NoneStorage] - performing GET at /cf3/myobjects4493
2020-03-26 13:47:43,509 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3979
2020-03-26 13:47:43,516 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects4187
2020-03-26 13:47:43,545 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects4477
2020-03-26 13:47:43,566 [WARN] [AbstractOperator] - listerrr: cf3/myobjects3499
2020-03-26 13:47:43,567 [INFO] [NoneStorage] - performing LIST at /cf3/myobjects3499
2020-03-26 13:47:43,567 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4921
2020-03-26 13:47:43,573 [INFO] [NoneStorage] - performing GET at /cf3/myobjects41
2020-03-26 13:47:43,584 [WARN] [AbstractOperator] - listerrr: cf3/myobjects1266
2020-03-26 13:47:43,584 [INFO] [NoneStorage] - performing LIST at /cf3/myobjects1266
2020-03-26 13:47:43,584 [WARN] [AbstractOperator] - listerrr: cf4/myobjects5141
2020-03-26 13:47:43,584 [INFO] [NoneStorage] - performing LIST at /cf4/myobjects5141
2020-03-26 13:47:43,585 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects2737
2020-03-26 13:47:43,600 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects2883
2020-03-26 13:47:43,625 [INFO] [NoneStorage] - performing GET at /cf3/myobjects2815
