Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,8848,187239580000,500.61,407.4,1.84,38996335.7,100%
delete,delete,5854,0,63.39,63.39,1.22,0,100%
write,write,8867,185209424000,500.28,408.17,1.85,38571820.64,100%
delete,delete,5851,0,62.33,62.33,1.22,0,100%
write,write,8847,187762752000,500.18,406.35,1.84,39105239.58,100%
delete,delete,6058,0,61.96,61.96,1.26,0,100%
write,write,8767,187497184000,521.95,409.25,1.83,39046368,100%
delete,delete,5911,0,37.95,37.95,1.23,0,100%
write,write,8845,185603608000,518.11,408.14,1.84,38651579.24,100%
delete,delete,5821,0,37.38,37.38,1.21,0,100%
write,write,8757,186840564000,522.36,409.8,1.82,38913727.13,100%
delete,delete,5918,0,38.1,38.1,1.23,0,100%
write,write,8827,183240724000,517.94,408.85,1.84,38160673.63,100%
delete,delete,5951,0,38.35,38.35,1.24,0,100%
write,write,8761,187366696000,520.54,408.15,1.82,39020957.19,100%
delete,delete,5932,0,40.39,40.39,1.24,0,100%
write,write,8848,184487896000,519.02,408.86,1.84,38425748.15,100%
delete,delete,5857,0,35.37,35.37,1.22,0,100%
write,write,8913,183967440000,514.71,405.97,1.86,38311632.41,100%
delete,delete,5980,0,35.55,35.55,1.25,0,100%
write,write,8796,186384996000,522.11,410.76,1.83,38815683.96,100%
delete,delete,5960,0,34.85,34.85,1.24,0,100%
write,write,8953,189866440000,500.32,406.93,1.86,39539741.86,100%
delete,delete,5923,0,54.29,54.29,1.23,0,100%
write,write,8853,189795528000,507.14,411.58,1.84,39524513.48,100%
delete,delete,5794,0,53.72,53.72,1.21,0,100%
write,write,8883,187370124000,502.95,409.58,1.85,39022313.12,100%
delete,delete,6027,0,55.26,55.26,1.26,0,100%
write,write,8953,185670772000,498.82,407.08,1.86,38666725.53,100%
delete,delete,5822,0,57.54,57.54,1.21,0,100%
write,write,9006,184035864000,497.73,407.52,1.88,38326735.89,100%
delete,delete,5968,0,53.32,53.32,1.24,0,100%
write,write,8955,186198156000,498.97,407.34,1.86,38777968.73,100%
delete,delete,6012,0,55.31,55.31,1.25,0,100%
write,write,8970,188417784000,499.92,407.62,1.87,39238688.03,100%
delete,delete,6015,0,52.64,52.64,1.25,0,100%
write,write,8952,186000348000,499.52,407.28,1.86,38734723.87,100%
delete,delete,5826,0,56.51,56.51,1.21,0,100%
write,write,8963,182916608000,496.36,405.39,1.87,38097038.86,100%
delete,delete,5968,0,58.92,58.92,1.24,0,100%
write,write,8860,185142184000,502.68,409.1,1.85,38556211.25,100%
delete,delete,5914,0,58.72,58.72,1.23,0,100%
write,write,8903,187501448000,499.97,406.13,1.85,39049817.6,100%
delete,delete,5933,0,58.91,58.91,1.24,0,100%
write,write,8891,184553960000,499.45,407.5,1.85,38432832.08,100%
delete,delete,5819,0,61.95,61.95,1.21,0,100%
write,write,8862,187762452000,502.77,409.14,1.85,39103246.97,100%
delete,delete,5880,0,58.71,58.71,1.22,0,100%
write,write,8907,185146872000,500.22,407.67,1.85,38557179.5,100%
delete,delete,5768,0,59.91,59.91,1.2,0,100%
write,write,8917,186775552000,499.97,406.82,1.86,38896824.95,100%
delete,delete,5984,0,57.27,57.27,1.25,0,100%
write,write,8834,185076908000,501.85,407.8,1.84,38544800.75,100%
delete,delete,6002,0,61.22,61.22,1.25,0,100%
write,write,8877,183507312000,500.26,407.95,1.85,38217656.19,100%
delete,delete,5988,0,60.1,60.1,1.25,0,100%
write,write,8841,185533920000,502.66,409.24,1.84,38638756.61,100%
delete,delete,5735,0,62.21,62.21,1.19,0,100%
write,write,8916,179376672000,496.4,407.04,1.86,37354917.87,100%
delete,delete,5944,0,63.12,63.12,1.24,0,100%
write,write,8812,184553164000,502.73,409.03,1.84,38434843.38,100%
delete,delete,5958,0,62.22,62.22,1.24,0,100%
write,write,8764,190117912000,506.75,409.43,1.83,39592976.73,100%
delete,delete,5955,0,60.41,60.41,1.24,0,100%
write,write,8854,185600704000,501,407.78,1.84,38656166.78,100%
delete,delete,5788,0,63,63,1.21,0,100%
write,write,8849,183768008000,500.73,408.14,1.84,38273065.25,100%
delete,delete,6056,0,61.03,61.03,1.26,0,100%
write,write,8808,184811076000,503.82,409.79,1.83,38486584.13,100%
delete,delete,5957,0,61,61,1.24,0,100%
write,write,8989,180427636000,492.19,403.27,1.87,37575375.82,100%
delete,delete,6025,0,62.49,62.49,1.25,0,100%
write,write,8782,187496644000,504.9,409.01,1.83,39049004.15,100%
delete,delete,5786,0,63.38,63.38,1.21,0,100%
write,write,8909,184489940000,495.88,404.2,1.86,38419540.1,100%
delete,delete,5979,0,64.1,64.1,1.25,0,100%
write,write,8852,184815632000,500.02,407.3,1.84,38495268.9,100%
delete,delete,5827,0,64.16,64.16,1.21,0,100%
write,write,8913,185340492000,498.02,406.51,1.86,38601006.11,100%
delete,delete,6084,0,59.45,59.45,1.27,0,100%
write,write,8723,187232960000,507.57,412.02,1.82,38991270.16,100%
delete,delete,5813,0,64.26,64.26,1.21,0,100%
write,write,8793,184617000000,503.81,409.93,1.83,38446288.23,100%
delete,delete,5886,0,63.04,63.04,1.23,0,100%
write,write,8868,187433256000,500.66,406.82,1.85,39032664.79,100%
delete,delete,5983,0,60.36,60.36,1.25,0,100%
write,write,8995,181020328000,493.03,403.77,1.87,37699726.86,100%
delete,delete,6130,0,59.69,59.69,1.28,0,100%
write,write,8799,185072088000,505.29,411.09,1.83,38544824.44,100%
delete,delete,6031,0,58.78,58.78,1.26,0,100%
write,write,8860,187108444000,500.8,406.47,1.85,38970387.59,100%
delete,delete,6015,0,60.4,60.4,1.25,0,100%
write,write,8804,185010776000,505.41,410.9,1.83,38531100.08,100%
delete,delete,5796,0,60.57,60.57,1.21,0,100%
write,write,8849,188613536000,502.75,408.07,1.84,39285230.08,100%
delete,delete,5953,0,59.02,59.02,1.24,0,100%
write,write,8895,186448884000,502.5,409.31,1.85,38833242.87,100%
delete,delete,5757,0,57.43,57.43,1.2,0,100%
write,write,8868,187894380000,503.14,409.62,1.85,39136011.81,100%
delete,delete,5921,0,57.14,57.14,1.23,0,100%
write,write,8837,187238636000,505.34,410.42,1.84,38996041.64,100%
delete,delete,5775,0,57.99,57.99,1.2,0,100%
write,write,8887,182981596000,502.33,410.29,1.85,38106121.85,100%
delete,delete,5853,0,57.53,57.53,1.22,0,100%
write,write,8885,188682152000,502.08,408.31,1.85,39296239.62,100%
delete,delete,6022,0,56.39,56.39,1.25,0,100%
write,write,8863,184162276000,501.03,408.36,1.85,38352694.65,100%
delete,delete,5993,0,60.12,60.12,1.25,0,100%
write,write,8863,184684192000,499.06,406.63,1.85,38465175.21,100%
delete,delete,5977,0,63.11,63.11,1.24,0,100%
write,write,8771,191430560000,508.75,411.18,1.83,39865960.13,100%
delete,delete,5784,0,58.56,58.56,1.2,0,100%
write,write,8826,184815288000,504.17,410.38,1.84,38487781.87,100%
delete,delete,5881,0,59.71,59.71,1.22,0,100%
write,write,8809,189596896000,505.08,409.23,1.83,39487383.72,100%
delete,delete,5981,0,58.74,58.74,1.25,0,100%
write,write,8955,183836604000,497.93,406.55,1.87,38288085.26,100%
delete,delete,5878,0,58.1,58.1,1.22,0,100%
write,write,8941,184229440000,499.38,407.24,1.86,38367888.42,100%
delete,delete,5862,0,57.28,57.28,1.22,0,100%
write,write,8844,186123780000,503.3,409.3,1.84,38763254.05,100%
delete,delete,5995,0,58.29,58.29,1.25,0,100%
write,write,8862,187042740000,504.01,409.6,1.85,38954285.2,100%
delete,delete,5817,0,57.45,57.45,1.21,0,100%
write,write,8905,188679412000,500.86,406.89,1.85,39296520.12,100%
delete,delete,5949,0,57.21,57.21,1.24,0,100%
write,write,8803,186838828000,506.71,410.55,1.83,38908981.48,100%
delete,delete,5852,0,58.17,58.17,1.22,0,100%
write,write,8948,182588828000,495.56,404.88,1.86,38025531.15,100%
delete,delete,6031,0,60.77,60.77,1.26,0,100%
write,write,8900,183828704000,499.63,408.02,1.85,38285578.73,100%
delete,delete,6059,0,58.41,58.41,1.26,0,100%
write,write,8816,184158068000,505.92,411.61,1.84,38350939.77,100%
delete,delete,5793,0,58.84,58.84,1.21,0,100%
