Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,9467,197281532000,485.37,369.65,1.97,41084612.86,100%
delete,delete,6232,0,33.04,33.04,1.3,0,100%
write,write,9496,194600356000,481.6,367.55,1.98,40530924.14,100%
delete,delete,6437,0,35.28,35.28,1.34,0,100%
write,write,9278,203302580000,493.41,371.68,1.93,42345476.38,100%
delete,delete,6149,0,36.13,36.13,1.28,0,100%
write,write,9268,197536144000,489.42,371.88,1.93,41138116.52,100%
delete,delete,6217,0,42.61,42.61,1.29,0,100%
write,write,9287,194329352000,488.11,373.78,1.93,40471715.21,100%
delete,delete,6216,0,43.04,43.04,1.29,0,100%
write,write,9322,196295272000,487.65,371.64,1.94,40885572.42,100%
delete,delete,6203,0,41,41,1.29,0,100%
write,write,9252,195832428000,491.34,374.54,1.93,40784003.66,100%
delete,delete,6203,0,41.09,41.09,1.29,0,100%
write,write,9280,195243532000,488.13,372.08,1.93,40660530.49,100%
delete,delete,6144,0,44.12,44.12,1.28,0,100%
write,write,9295,194264932000,487.11,370.67,1.94,40457060.29,100%
delete,delete,6185,0,44.16,44.16,1.29,0,100%
write,write,9404,194133044000,482.49,368.44,1.96,40433964,100%
delete,delete,6470,0,40.64,40.64,1.35,0,100%
write,write,9369,194000100000,485.56,371.55,1.95,40409514.81,100%
delete,delete,6346,0,39.51,39.51,1.32,0,100%
write,write,9235,196816360000,494.62,375.65,1.92,40988165.86,100%
delete,delete,5999,0,38.85,38.85,1.25,0,100%
write,write,9285,193671024000,488.66,371.27,1.93,40331711.63,100%
delete,delete,6277,0,42.03,42.03,1.31,0,100%
write,write,9403,193879672000,484.59,370.62,1.96,40384665.63,100%
delete,delete,6282,0,38.72,38.72,1.31,0,100%
write,write,9193,196285756000,493.18,374.74,1.91,40882909.14,100%
delete,delete,6238,0,42.71,42.71,1.3,0,100%
write,write,9297,195695784000,489.5,372.55,1.94,40758610.52,100%
delete,delete,6228,0,40.06,40.06,1.3,0,100%
write,write,9246,197075232000,490.94,373.85,1.93,41049232.78,100%
delete,delete,6249,0,41.73,41.73,1.3,0,100%
write,write,9380,194918732000,484.85,369.7,1.95,40592525.61,100%
delete,delete,6524,0,38.78,38.78,1.36,0,100%
write,write,9303,197801592000,489.14,372.1,1.94,41191802.11,100%
delete,delete,6186,0,40.5,40.5,1.29,0,100%
write,write,9285,195112548000,490.18,375.13,1.93,40632516.17,100%
delete,delete,6141,0,40.65,40.65,1.28,0,100%
write,write,9355,195775468000,486.86,372.33,1.95,40772752.56,100%
delete,delete,6182,0,39.8,39.8,1.29,0,100%
write,write,9337,192625960000,486,370.71,1.94,40115832.91,100%
delete,delete,6167,0,42.65,42.65,1.28,0,100%
write,write,9344,193015520000,484.77,370,1.95,40202814.18,100%
delete,delete,6344,0,42.62,42.62,1.32,0,100%
write,write,9335,192032204000,485.03,371.69,1.94,39992745.03,100%
delete,delete,6299,0,43.33,43.33,1.31,0,100%
write,write,9219,192290688000,490.52,373.96,1.92,40045234.36,100%
delete,delete,6252,0,44.59,44.59,1.3,0,100%
write,write,9355,193936732000,486.35,371.19,1.95,40393681.95,100%
delete,delete,6352,0,39.41,39.41,1.32,0,100%
write,write,9286,192426160000,489.13,372.92,1.93,40072912.79,100%
delete,delete,6263,0,41.32,41.32,1.3,0,100%
write,write,9399,197540688000,485.32,369,1.96,41141401.89,100%
delete,delete,6061,0,39.44,39.44,1.26,0,100%
write,write,9404,192364160000,484.81,371.4,1.96,40061261,100%
delete,delete,6278,0,38.49,38.49,1.31,0,100%
write,write,9307,196617412000,489.04,373.06,1.94,40945463.22,100%
delete,delete,6240,0,39.97,39.97,1.3,0,100%
write,write,9269,194583188000,490.84,375.36,1.93,40524546.23,100%
delete,delete,6384,0,39.33,39.33,1.33,0,100%
write,write,9447,198066816000,483.29,367.53,1.97,41248082.46,100%
delete,delete,6175,0,38.09,38.09,1.29,0,100%
write,write,9350,194989664000,487.24,372.27,1.95,40614097.71,100%
delete,delete,6277,0,38.93,38.93,1.31,0,100%
write,write,9392,194459636000,483.89,369.95,1.96,40497575.06,100%
delete,delete,6380,0,40.14,40.14,1.33,0,100%
write,write,9323,194981816000,487.68,371,1.94,40619536.11,100%
delete,delete,6214,0,40.65,40.65,1.29,0,100%
write,write,9323,200028560000,490.91,369.49,1.94,41656032.36,100%
delete,delete,6351,0,35.31,35.31,1.32,0,100%
write,write,9442,199243252000,482.58,365.13,1.97,41499811.71,100%
delete,delete,6199,0,39.28,39.28,1.29,0,100%
write,write,9490,194135188000,480.98,367.51,1.98,40432322.08,100%
delete,delete,6512,0,36.25,36.25,1.36,0,100%
write,write,9495,198783780000,482.82,366.77,1.98,41397694.37,100%
delete,delete,6217,0,34.81,34.81,1.29,0,100%
write,write,9447,198592152000,483.68,368.4,1.97,41357287.35,100%
delete,delete,6238,0,37.12,37.12,1.3,0,100%
write,write,9439,198784816000,485.52,368.59,1.97,41400755.35,100%
delete,delete,5970,0,36.47,36.47,1.24,0,100%
write,write,9429,201540120000,486.73,368.71,1.96,41972432.41,100%
delete,delete,6147,0,34.39,34.39,1.28,0,100%
write,write,9468,199308228000,484.7,367.82,1.97,41505962.41,100%
delete,delete,6349,0,33.36,33.36,1.32,0,100%
